Trial,Odd_Count
1,5
2,8
3,4
4,2
5,4
6,3
7,6
8,5
9,7
10,7
11,6
12,3
13,5
14,5
15,6
16,5
17,7
18,6
19,4
20,3
21,6
22,6
23,6
24,4
25,3
26,5
27,5
28,5
29,7
30,5
31,7
32,4
33,4
34,5
35,4
36,6
37,8
38,6
39,4
40,7
41,4
42,6
43,5
44,7
45,7
46,5
47,5
48,6
49,5
50,3
51,4
52,2
53,6
54,5
55,6
56,4
57,2
58,2
59,6
60,3
61,4
62,7
63,5
64,4
65,3
66,7
67,4
68,5
69,6
70,1
71,4
72,6
73,7
74,5
75,6
76,4
77,4
78,7
79,7
80,5
81,5
82,6
83,4
84,5
85,2
86,3
87,5
88,8
89,3
90,5
91,4
92,2
93,4
94,6
95,8
96,5
97,5
98,5
99,7
100,7
