Trial,Odd_Count
1,8
2,7
3,6
4,6
5,6
6,5
7,3
8,7
9,5
10,6
11,6
12,5
13,5
14,6
15,4
16,2
17,4
18,6
19,5
20,4
21,6
22,6
23,3
24,5
25,5
26,6
27,4
28,5
29,4
30,8
31,5
32,6
33,4
34,6
35,6
36,6
37,7
38,7
39,5
40,6
41,5
42,3
43,4
44,4
45,5
46,5
47,5
48,5
49,3
50,5
51,6
52,4
53,7
54,3
55,3
56,7
57,5
58,6
59,4
60,4
61,6
62,7
63,7
64,3
65,5
66,4
67,5
68,7
69,4
70,6
71,5
72,4
73,3
74,3
75,5
76,5
77,9
78,6
79,5
80,6
81,5
82,5
83,4
84,6
85,4
86,6
87,5
88,4
89,7
90,5
91,2
92,5
93,4
94,6
95,5
96,8
97,5
98,6
99,5
100,3
101,5
102,7
103,6
104,4
105,4
106,6
107,6
108,6
109,5
110,5
111,4
112,8
113,6
114,5
115,5
116,6
117,1
118,3
119,4
120,4
121,7
122,4
123,8
124,3
125,4
126,5
127,3
128,7
129,7
130,4
131,5
132,5
133,3
134,3
135,5
136,3
137,5
138,4
139,6
140,5
141,4
142,7
143,2
144,6
145,4
146,4
147,1
148,2
149,5
150,4
151,3
152,4
153,4
154,4
155,6
156,5
157,6
158,4
159,7
160,4
161,1
162,7
163,4
164,4
165,5
166,4
167,4
168,5
169,3
170,5
171,5
172,6
173,1
174,4
175,5
176,7
177,2
178,5
179,4
180,6
181,8
182,5
183,3
184,4
185,5
186,3
187,6
188,6
189,6
190,3
191,6
192,4
193,4
194,4
195,6
196,6
197,3
198,4
199,7
200,6
