Trial,Odd_Count
1,6
2,6
3,7
4,6
5,4
6,7
7,7
8,5
9,5
10,5
11,6
12,6
13,7
14,5
15,5
16,4
17,5
18,4
19,9
20,6
21,5
22,4
23,5
24,7
25,4
26,2
27,5
28,3
29,6
30,6
31,7
32,3
33,4
34,5
35,6
36,8
37,7
38,4
39,3
40,5
41,5
42,7
43,7
44,3
45,5
46,6
47,6
48,2
49,4
50,3
51,3
52,4
53,8
54,4
55,4
56,4
57,4
58,5
59,7
60,4
61,5
62,4
63,5
64,6
65,1
66,5
67,5
68,6
69,7
70,2
71,5
72,3
73,5
74,5
75,6
76,5
77,6
78,7
79,6
80,4
81,4
82,7
83,2
84,5
85,6
86,5
87,3
88,6
89,5
90,5
91,4
92,4
93,6
94,7
95,7
96,4
97,4
98,5
99,4
100,5
101,3
102,5
103,4
104,7
105,4
106,6
107,7
108,5
109,6
110,6
111,3
112,2
113,5
114,5
115,0
116,7
117,3
118,4
119,4
120,4
121,4
122,7
123,6
124,4
125,4
126,3
127,9
128,6
129,9
130,4
131,7
132,5
133,3
134,6
135,7
136,8
137,7
138,5
139,3
140,5
141,8
142,3
143,4
144,4
145,3
146,4
147,4
148,4
149,5
150,2
151,4
152,7
153,5
154,4
155,5
156,5
157,5
158,3
159,4
160,4
161,3
162,4
163,5
164,3
165,7
166,6
167,7
168,4
169,5
170,5
171,5
172,6
173,8
174,1
175,6
176,6
177,6
178,6
179,6
180,5
181,4
182,5
183,2
184,5
185,4
186,5
187,5
188,7
189,5
190,7
191,3
192,5
193,3
194,3
195,6
196,3
197,8
198,8
199,5
200,4
201,7
202,5
203,5
204,5
205,4
206,3
207,4
208,6
209,7
210,3
211,3
212,7
213,7
214,6
215,4
216,4
217,4
218,7
219,5
220,3
221,4
222,3
223,5
224,7
225,5
226,5
227,6
228,5
229,4
230,6
231,7
232,4
233,3
234,4
235,5
236,5
237,2
238,6
239,5
240,5
241,4
242,2
243,3
244,6
245,8
246,3
247,3
248,6
249,7
250,4
251,6
252,3
253,3
254,3
255,5
256,4
257,4
258,6
259,7
260,5
261,6
262,3
263,8
264,6
265,3
266,7
267,6
268,7
269,2
270,7
271,7
272,5
273,5
274,7
275,6
276,4
277,7
278,4
279,5
280,6
281,5
282,3
283,4
284,4
285,4
286,6
287,2
288,7
289,3
290,7
291,7
292,6
293,3
294,6
295,5
296,3
297,3
298,5
299,4
300,6
301,4
302,4
303,2
304,5
305,8
306,5
307,5
308,4
309,5
310,5
311,6
312,3
313,5
314,5
315,3
316,4
317,5
318,4
319,5
320,3
321,4
322,7
323,6
324,5
325,4
326,6
327,4
328,5
329,8
330,3
331,7
332,5
333,3
334,6
335,3
336,5
337,4
338,5
339,6
340,7
341,4
342,5
343,5
344,5
345,5
346,8
347,3
348,6
349,5
350,6
351,5
352,3
353,6
354,6
355,4
356,6
357,4
358,6
359,5
360,5
361,4
362,5
363,6
364,3
365,4
366,5
367,3
368,5
369,6
370,3
371,5
372,7
373,5
374,6
375,3
376,6
377,5
378,4
379,4
380,7
381,4
382,3
383,3
384,3
385,5
386,5
387,5
388,7
389,5
390,3
391,8
392,4
393,3
394,5
395,4
396,7
397,4
398,4
399,7
400,2
401,9
402,4
403,8
404,2
405,5
406,6
407,4
408,4
409,4
410,5
411,7
412,6
413,5
414,5
415,4
416,7
417,3
418,5
419,6
420,6
421,4
422,6
423,9
424,2
425,3
426,6
427,7
428,6
429,7
430,6
431,4
432,4
433,3
434,6
435,4
436,4
437,5
438,3
439,6
440,5
441,6
442,6
443,4
444,7
445,5
446,5
447,4
448,2
449,1
450,5
451,3
452,5
453,4
454,4
455,4
456,7
457,5
458,9
459,5
460,6
461,4
462,4
463,8
464,5
465,7
466,7
467,3
468,7
469,5
470,5
471,6
472,6
473,3
474,6
475,5
476,8
477,6
478,5
479,4
480,5
481,5
482,5
483,4
484,6
485,6
486,3
487,3
488,5
489,6
490,7
491,3
492,8
493,3
494,4
495,6
496,6
497,4
498,4
499,6
500,7
